1050,23
1949,34
1460,03
2070,33
4040,00
3030,00
2420,00
1320,00
4050,00
3060,00
2470,00
8700,00
4500,00
3400,00
2400,00
1300,00
4400,00
3300,00
2400,00
2200,00
4000,00
3400,00
2400,00
3500,00
1200,00
1400,00
1400,00
7000,00
9800,00
5700,00
2000,00
1300,34
1400,56
1574,00
2800,00
1000,23
1999,34
1500,03
2600,33
4700,00
3800,00
2900,00
1300,00
4900,00
3800,00
2400,00
8600,00
4500,00
3300,00
2200,00
1300,00
4500,00
3700,00
2700,00
2100,00
4100,00
3100,00
1400,00
1000,00
1300,00
1200,00
2440,00
7050,00
9860,00
5770,00
2080,00
1050,34
1300,56
1474,00
2500,00
1600,23
1799,34
1500,03
2300,33
4500,00
3200,00
2300,00
1700,00
4700,00
3700,00
2700,00
8700,00
4700,00
3700,00
1400,00
1500,00
1000,00
1200,00
1100,00
1200,00
1300,00
3200,00
2200,00
3200,00
4200,00
3200,00
2200,00
7030,00
9840,00
5750,00
2060,00
1070,34
1020,56
1524,00
2820,00
1020,23
1929,34
1420,03
2020,33
4020,00
3020,00
2300,00
1400,00
4500,00
3600,00
2700,00
8300,00
4400,00
3500,00
2400,00
1200,00
4200,00
3200,00
2200,00
2300,00
4400,00
3500,00
2600,00
3700,00
4800,00
3800,00
2200,00
7200,00
9200,00
5200,00
2200,00
1000,34
1000,56
1574,00
2800,00
1000,23
1999,34
1400,03
2000,33
4000,00
3000,00
2400,00
1300,00
4000,00
3000,00
2400,00
8000,00
4000,00
3000,00
2400,00
1000,00
4000,00
3000,00
2400,00
2000,00
4000,00
3000,00
2400,00
3000,00
4000,00
3000,00
2400,00
7000,00
9800,00
5700,00
2000,00
1000,34
1000,56
1574,00
2800,00
1000,23
1999,34
1400,03
2000,33
4000,00
3000,00
2400,00
1300,00
4000,00
3000,00
2400,00
8000,00
4000,00
3000,00
2400,00
1000,00
4000,00
3030,00
2400,00
2030,00
4030,00
3030,00
2430,00
3030,00
4030,00
1000,00
1400,00
1000,00
1800,00
1700,00
1000,00
1200,34
1200,56
1274,00
1800,00
1000,23
1299,34
1100,03
2000,33
4000,00
3300,00
2400,00
1300,00
4500,00
3500,00
2500,00
8500,00
4500,00
3500,00
2500,00
1000,00
4000,00
3000,00
2400,00
2000,00
4700,00
3700,00
2700,00
3700,00
4070,00
3070,00
2470,00
7000,00
9800,00
5770,00
2000,00
1000,34
1070,56
1574,00
2870,00
1000,23
1999,34
1470,03
2000,33
4070,00
3000,00
2400,00
1370,00
4000,00
3000,00
2400,00
8070,00
4070,00
3000,00
2400,00
1040,00
4000,00
3000,00
2440,00
2000,00
4000,00
3800,00
2400,00
3000,00
4000,00
3800,00
2400,00
7000,00
9800,00
5800,00
2000,00
1800,34
1000,56
1874,00
2800,00
1000,23
1999,34
1800,03
2000,33
4800,00
3000,00
2400,00
1800,00
4000,00
3600,00
2400,00
8000,00
4000,00
3000,00
2600,00
1600,00
4000,00
3000,00
2600,00
2000,00
4000,00
3000,00
2400,00
3000,00
4000,00
3000,00
2600,00
7000,00
9800,00
5700,00
2600,00
1000,34
1000,56
1674,00
2800,00
1000,23
1699,34
1400,03
2000,33
4600,00
3000,00
2400,00
1600,00
4000,00
3000,00
2400,00
8000,00
4700,00
3000,00
2400,00
1000,00
4700,00
3000,00
2400,00
2000,00
4000,00
3700,00
2400,00
3000,00
4000,00
3000,00
2400,00
7000,00
9800,00
5700,00
2000,00
1000,34
1000,56
1774,00
2800,00
1000,23
1999,34
1400,03
2700,33
4000,00
3000,00
2400,00
1300,00
4000,00
3700,00
2400,00
8000,00
4000,00
3000,00
2900,00
1000,00
4000,00
3000,00
2400,00
2000,00
4000,00
3000,00
2400,00
3000,00
4000,00
3000,00
2400,00
7000,00
9800,00
5700,00
2000,00
1000,34
1000,56
1574,00
2800,00
1000,23
1999,34
1400,03
2000,33
4060,00
3060,00
2460,00
1360,00
4000,00
3060,00
2400,00
8000,00
4000,00
3060,00
2400,00
1000,00
4060,00
3000,00
2400,00
2560,00
4500,00
3500,00
2560,00
3500,00
4500,00
3560,00
2500,00
7060,00
9800,00
5700,00
2000,00
1000,34
1000,56
1574,00
2800,00
1000,23
1999,34
1400,03
2000,33
4060,00
3050,00
2400,00
1330,00
1000,00
1000,00
1400,00
1000,00
1000,00
3200,00
2200,00
1200,00
4200,00
3200,00
2400,00
2000,00
4000,00
3000,00
2400,00
3000,00
4000,00
3000,00
2400,00
7000,00
9800,00
5700,00
2000,00
1000,34
1000,56
1574,00
2800,00
